time_s,surface,force_g,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,tilt_deg
6.25,smooth,948.9,0.0266,-0.008,1.0004,0.146,-1.074,0.318,1.59
6.5,smooth,938.8,0.0036,-0.0234,1.008,-2.058,1.361,-0.123,1.35
6.75,smooth,951.0,0.0059,-0.0143,1.0007,-0.308,0.07,-0.442,0.89
7.0,smooth,943.2,0.0154,-0.0294,1.0077,1.064,-0.635,-0.324,1.89
7.25,smooth,945.7,0.0549,-0.0157,0.9922,1.599,1.297,0.401,3.29
7.5,smooth,943.2,-0.0058,-0.0294,1.0178,0.574,0.494,0.137,1.69
7.75,smooth,962.8,0.0485,-0.0311,1.0025,1.254,-0.96,0.025,3.29
8.0,smooth,947.9,-0.0137,-0.0379,1.004,-0.942,-0.836,0.122,2.3
8.25,smooth,939.5,0.0146,0.0105,0.9922,-0.544,-0.178,0.464,1.04
8.5,smooth,954.6,0.0032,-0.0127,1.0047,-1.344,0.238,-0.049,0.75
8.75,smooth,938.2,-0.0063,-0.0158,1.0065,-0.484,0.498,0.027,0.97
9.0,smooth,949.7,0.024,-0.0375,0.9883,0.61,0.76,0.569,2.58
9.25,smooth,932.3,0.022,-0.0247,0.9834,0.17,0.432,-0.166,1.93
9.5,smooth,937.4,0.0004,-0.0397,1.0029,0.694,1.077,0.309,2.27
9.75,smooth,949.6,-0.0319,-0.0298,0.9951,-0.749,0.101,-0.252,2.51
10.0,smooth,953.9,0.0016,-0.0442,1.0026,-0.7,-0.608,-0.208,2.53
10.25,smooth,949.4,0.0128,0.0118,0.9871,0.164,-0.003,-0.052,1.01
10.5,smooth,947.1,0.01,-0.0351,0.9844,-0.482,-0.055,0.258,2.12
10.75,smooth,945.6,0.0251,-0.0375,1.0021,1.041,-2.063,0.597,2.58
11.0,smooth,936.2,0.0487,-0.0465,0.9965,-0.502,-0.449,0.048,3.87
11.25,smooth,942.2,0.0183,-0.0354,0.9789,-0.396,0.251,-0.75,2.33
11.5,smooth,944.3,0.0214,-0.0299,1.0134,0.335,-0.339,0.316,2.08
11.75,smooth,978.9,0.013,-0.021,0.9869,-0.311,-0.517,1.227,1.43
12.0,smooth,950.7,0.0334,-0.0329,1.0257,-0.988,0.729,0.054,2.62
12.25,smooth,933.9,0.0206,-0.052,0.9938,-0.879,-0.733,-0.854,3.22
12.5,smooth,927.0,0.025,-0.0503,1.004,0.43,0.569,0.085,3.2
12.75,smooth,944.9,0.0462,-0.0064,1.0165,-1.087,-1.066,-0.002,2.63
13.0,smooth,942.6,0.0145,-0.0225,1.0148,1.118,2.209,-0.044,1.51
13.25,smooth,952.9,0.0046,-0.007,1.0199,-0.552,-0.173,0.473,0.47
13.5,smooth,956.2,0.0189,-0.0044,0.9848,0.493,-0.259,0.689,1.13
13.75,smooth,955.5,0.0327,-0.017,0.9886,-0.504,0.914,0.342,2.13
14.0,smooth,941.3,0.02,-0.0446,1.0023,-0.732,-0.335,-0.067,2.79
14.25,smooth,945.5,0.0312,-0.0162,1.0084,0.197,1.164,0.563,2.0
14.5,smooth,950.7,-0.0034,0.008,0.9999,0.841,0.297,-0.747,0.5
14.75,smooth,955.8,-0.0074,-0.0289,0.9836,-0.198,-0.095,-0.358,1.74
15.0,smooth,944.2,-0.0009,-0.0132,1.005,-0.052,-0.18,-0.302,0.75
15.25,smooth,946.5,-0.0153,-0.0203,0.9981,0.646,0.966,-0.015,1.46
15.5,smooth,939.1,0.0122,0.0074,0.9979,0.672,0.184,0.253,0.82
15.75,smooth,938.4,0.0014,-0.0336,0.9772,-0.031,0.346,-0.1,1.97
16.0,smooth,954.5,0.0346,0.0031,1.008,-0.355,0.433,-0.453,1.97
16.25,smooth,958.8,-0.0158,-0.0275,1.0015,0.066,0.106,0.487,1.81
16.5,smooth,947.4,0.0411,-0.0339,1.018,-0.153,0.416,-0.118,3.0
16.75,smooth,956.0,-0.0096,-0.0178,0.9993,0.25,-0.095,0.051,1.16
17.0,smooth,950.9,-0.0148,-0.0132,1.0057,-0.955,-0.04,0.276,1.13
17.25,smooth,942.8,-0.0065,0.0182,1.0083,0.222,-0.895,0.019,1.1
17.5,smooth,950.9,0.049,-0.0136,0.9825,-0.575,0.238,0.022,2.96
17.75,smooth,960.3,0.0092,-0.0161,1.0262,0.725,-1.376,0.515,1.04
18.0,smooth,947.7,0.0206,0.0119,0.9957,-0.538,0.227,0.076,1.37
18.25,smooth,960.5,0.0063,-0.008,1.0049,-0.524,-0.224,0.431,0.58
18.5,smooth,927.0,0.0082,-0.0329,1.0064,0.356,0.3,0.272,1.93
18.75,smooth,954.6,-0.0001,0.0071,0.9919,0.011,-0.839,1.008,0.41
19.0,smooth,948.7,0.011,-0.0348,1.0185,1.821,-1.695,0.205,2.05
19.25,smooth,945.6,0.0199,-0.033,1.0027,-1.303,-0.281,0.319,2.2
19.5,smooth,948.7,0.0436,-0.037,0.9979,0.088,-0.837,0.551,3.28
19.75,smooth,915.4,-0.0275,-0.0387,1.0014,0.904,-1.424,0.032,2.71
20.0,smooth,946.2,0.0422,-0.0133,1.0076,-0.463,0.614,-0.319,2.51
20.25,smooth,950.9,0.0206,-0.0252,1.0001,-0.728,1.281,-0.237,1.86
20.5,smooth,959.8,0.0026,-0.0896,1.0088,-0.697,-0.638,-0.232,5.08
20.75,smooth,943.9,-0.001,-0.0254,0.9832,-1.29,-0.061,-0.475,1.48
21.0,smooth,941.5,0.0309,-0.0304,0.9925,1.08,-0.246,0.159,2.5
21.25,smooth,944.0,0.0146,-0.0021,0.9786,-0.264,-0.527,-0.315,0.86
21.5,smooth,972.5,-0.0207,-0.0313,1.02,-0.358,0.531,0.097,2.11
21.75,smooth,950.6,0.0173,0.0308,1.0198,-1.699,0.808,-0.079,1.98
22.0,smooth,943.8,0.0329,0.0079,1.0063,-1.147,-0.695,-0.021,1.93
22.25,smooth,952.1,0.0272,-0.0278,0.9899,1.172,0.036,0.278,2.25
22.5,smooth,948.8,-0.0025,0.003,1.0239,0.242,1.028,-0.271,0.22
22.75,smooth,955.7,-0.0168,-0.0095,0.994,0.933,0.551,0.319,1.11
23.0,smooth,942.4,0.0035,-0.0153,0.9979,0.832,0.67,0.784,0.9
23.25,smooth,945.4,0.0751,-0.0039,1.0016,-0.8,1.094,0.172,4.29
23.5,smooth,944.9,-0.0209,-0.0189,1.0045,1.944,1.084,-0.391,1.61
23.75,smooth,936.3,-0.0069,-0.0152,1.0064,1.56,0.823,-0.308,0.95
24.0,smooth,950.4,0.0178,-0.0035,1.0068,-0.451,0.116,-0.124,1.03
24.25,smooth,950.1,0.0075,0.021,0.9986,-2.855,-0.306,-0.297,1.28
24.5,smooth,948.0,0.006,-0.015,1.0067,-0.285,0.083,-0.496,0.92
24.75,smooth,946.1,0.0505,-0.0291,0.9981,0.191,-0.428,0.077,3.34
25.0,smooth,936.7,-0.0071,-0.0606,1.0058,-0.454,-1.562,-0.111,3.47
25.25,smooth,944.6,0.0097,0.0192,1.005,-0.177,-0.224,0.095,1.23
25.5,smooth,945.3,0.014,-0.0253,1.0076,-0.663,0.286,0.593,1.64
25.75,smooth,941.6,-0.0061,-0.0093,1.0064,0.737,-0.47,-0.118,0.63
26.0,smooth,946.7,-0.0188,0.0181,0.9956,0.051,-0.154,-0.593,1.5
26.25,smooth,951.2,0.0154,-0.0154,1.0046,0.761,-0.123,-0.199,1.24
26.5,smooth,963.1,0.0463,-0.0239,1.0065,0.978,1.085,0.385,2.96
26.75,smooth,949.4,0.0181,0.0084,0.9871,-1.739,-0.288,0.338,1.16
27.0,smooth,950.1,0.0118,-0.0108,0.9973,-0.616,1.085,0.259,0.92
27.25,smooth,947.4,0.0117,-0.0083,1.0061,-0.499,-2.17,-0.312,0.82
27.5,smooth,932.6,0.0048,-0.0505,1.0171,2.057,1.078,0.376,2.86
27.75,smooth,947.8,0.0337,0.0041,1.0082,0.119,1.038,0.488,1.93
28.0,smooth,948.5,-0.0001,-0.0125,1.0177,0.65,0.722,-0.348,0.7
28.25,smooth,967.7,-0.0171,-0.0474,0.996,-1.505,-1.61,-0.021,2.9
28.5,smooth,946.5,-0.0216,-0.0103,1.0025,0.115,0.815,1.01,1.37
28.75,smooth,950.4,0.0116,-0.0613,1.0081,0.783,-0.04,-0.37,3.54
29.0,smooth,947.7,0.0312,0.0268,0.9767,0.69,-2.023,-0.853,2.41
29.25,smooth,938.7,0.0147,-0.042,1.0151,0.499,1.039,0.691,2.51
29.5,smooth,957.1,0.0037,0.0122,0.9814,0.01,1.155,0.568,0.74
29.75,smooth,954.0,0.0192,-0.0363,1.01,0.049,-1.524,-0.228,2.33
0.0,carpet,945.5,0.0145,0.0013,0.9758,0.261,3.812,-0.136,0.85
0.25,carpet,921.1,-0.0491,-0.0032,0.997,4.181,-2.122,1.576,2.83
0.5,carpet,950.0,0.0025,-0.0122,1.0437,-2.894,-2.83,-0.699,0.68
0.75,carpet,973.7,-0.0717,0.1033,1.023,-0.97,-3.372,-1.593,7.01
1.0,carpet,936.1,0.0611,-0.0345,0.9026,-2.808,-3.425,-0.628,4.45
1.25,carpet,967.3,-0.0993,-0.0404,1.0074,2.504,1.607,-0.639,6.07
1.5,carpet,958.2,0.0527,-0.0778,1.0094,-1.864,0.146,-0.14,5.32
1.75,carpet,1009.0,0.059,-0.0969,0.9993,-0.548,2.871,1.142,6.48
2.0,carpet,937.3,0.0759,-0.081,0.9756,1.977,6.06,1.044,6.49
2.25,carpet,987.1,0.0143,-0.0559,1.0478,2.234,-5.491,2.159,3.15
2.5,carpet,907.4,0.0558,0.0455,1.0498,-2.903,1.14,-1.461,3.92
2.75,carpet,935.5,0.002,-0.018,0.9119,3.381,-3.356,0.7,1.14
3.0,carpet,973.6,-0.0493,-0.0103,0.9681,1.458,2.367,1.309,2.98
3.25,carpet,927.6,0.0865,-0.0248,0.9942,-3.461,-0.816,-1.214,5.17
3.5,carpet,972.2,0.0052,-0.0017,1.0379,-4.249,0.082,-0.374,0.3
3.75,carpet,962.1,-0.0605,0.0501,1.0014,-0.051,-3.85,-3.15,4.49
4.0,carpet,956.9,-0.0133,-0.1197,0.9727,2.72,-1.279,1.632,7.06
4.25,carpet,963.2,-0.0114,0.0409,1.0284,2.802,0.269,-0.388,2.36
4.5,carpet,922.4,0.0331,-0.1458,0.9915,1.14,4.068,1.452,8.58
4.75,carpet,1050.9,0.1274,-0.0186,0.9953,0.156,-2.384,0.371,7.37
5.0,carpet,921.3,0.0361,0.0896,0.9989,1.638,-1.652,-0.333,5.52
5.25,carpet,951.4,0.0203,0.014,1.023,-2.737,2.833,-2.867,1.38
5.5,carpet,944.5,0.1328,-0.0013,0.9877,5.398,-2.578,-2.547,7.66
5.75,carpet,921.9,0.0589,0.0801,1.0275,5.357,3.427,-4.668,5.53
6.0,carpet,939.9,0.0227,-0.0552,0.9971,1.372,-0.027,-1.013,3.43
6.25,carpet,948.5,-0.014,0.0017,0.9573,0.631,0.909,4.101,0.84
6.5,carpet,933.7,0.0258,0.0089,0.9985,-1.317,1.103,-2.318,1.57
6.75,carpet,968.6,0.0067,-0.0461,0.9594,1.692,-1.849,-4.737,2.78
7.0,carpet,944.4,0.0146,-0.0417,1.0016,-2.212,1.17,1.733,2.53
7.25,carpet,918.5,0.0757,-0.0472,1.0332,-7.116,-2.317,4.255,4.93
7.5,carpet,916.6,-0.017,-0.0156,0.9571,-8.685,-1.506,0.536,1.38
7.75,carpet,961.3,0.0357,0.0073,1.0146,-2.558,1.676,0.52,2.06
8.0,carpet,915.3,0.0574,-0.0138,0.9668,0.5,0.88,-0.558,3.49
8.25,carpet,955.0,-0.0231,0.0155,1.0081,1.062,-0.225,-3.23,1.58
8.5,carpet,957.8,-0.0311,-0.1185,1.0344,-1.558,-3.776,-2.611,6.75
8.75,carpet,926.1,0.0025,-0.0309,0.9148,0.454,-3.027,-0.57,1.94
9.0,carpet,967.6,-0.0131,-0.0712,0.9554,-0.878,0.83,-0.915,4.33
9.25,carpet,910.2,0.0676,-0.0049,0.9852,-3.198,2.196,-0.207,3.94
9.5,carpet,954.5,-0.0401,-0.0057,1.0126,-0.172,-3.329,1.493,2.29
9.75,carpet,947.1,0.0134,-0.0258,0.9933,2.601,-2.519,-1.047,1.68
10.0,carpet,945.4,0.1373,0.0055,0.9982,-3.053,0.403,1.529,7.84
10.25,carpet,922.1,0.0307,0.0299,1.0817,-3.052,0.338,-1.036,2.27
10.5,carpet,927.4,0.039,-0.023,0.9515,-3.422,-4.872,1.869,2.72
10.75,carpet,983.6,0.068,-0.0726,1.0454,-6.197,0.485,0.155,5.44
11.0,carpet,974.7,-0.0131,-0.0991,0.986,-1.537,-1.795,-0.784,5.79
11.25,carpet,964.3,-0.0441,-0.0182,1.022,2.285,4.923,0.125,2.67
11.5,carpet,920.8,0.0188,-0.0079,1.0852,0.557,0.748,-0.528,1.08
11.75,carpet,966.6,0.0233,-0.0685,1.0275,-0.542,1.264,0.204,4.03
12.0,carpet,940.9,-0.0709,0.0163,1.0149,0.413,1.342,1.365,4.1
12.25,carpet,949.0,0.0288,-0.0429,1.064,-1.565,-3.642,-0.157,2.78
12.5,carpet,869.2,0.0635,-0.1028,1.045,-6.233,5.832,-0.665,6.6
12.75,carpet,946.0,-0.0356,0.0428,0.968,2.508,-4.869,-2.022,3.29
13.0,carpet,974.0,0.0318,0.0372,1.0118,3.428,2.387,1.043,2.77
13.25,carpet,933.5,0.0546,-0.1208,0.9313,-2.33,1.856,0.627,8.1
13.5,carpet,927.2,0.0393,-0.0481,0.9784,-0.483,-1.431,-2.127,3.63
13.75,carpet,950.0,0.0441,-0.0501,1.0126,-0.758,1.999,1.504,3.77
14.0,carpet,917.5,-0.0022,0.062,0.9759,1.124,-0.953,-2.157,3.64
14.25,carpet,923.6,-0.0464,-0.025,1.0109,5.408,-2.026,1.853,2.98
14.5,carpet,968.2,-0.0124,-0.0948,0.9995,3.711,1.409,1.238,5.46
14.75,carpet,960.2,-0.0193,0.0241,1.0215,-1.206,-3.02,0.755,1.73
15.0,carpet,950.2,0.006,-0.0815,0.983,1.736,-0.673,-0.679,4.75
15.25,carpet,972.4,0.0647,-0.033,0.9624,4.014,-1.783,1.036,4.32
15.5,carpet,952.6,-0.0556,-0.0585,1.0591,1.307,-1.008,1.937,4.36
15.75,carpet,967.4,0.0172,-0.048,0.9802,-0.015,1.298,1.066,2.98
16.0,carpet,980.5,-0.0432,0.0269,1.0264,1.427,-1.783,-1.206,2.84
16.25,carpet,981.5,-0.027,0.0561,1.0574,-2.25,-0.577,0.481,3.37
16.5,carpet,956.2,0.0379,-0.0837,1.0065,-1.783,-1.509,2.038,5.22
16.75,carpet,944.2,-0.0495,0.0113,0.9657,-3.405,4.332,3.958,3.01
17.0,carpet,951.2,0.0467,-0.0566,0.9929,0.983,1.028,-0.369,4.23
17.25,carpet,959.5,-0.0576,-0.0551,1.0407,-0.42,0.66,1.544,4.38
17.5,carpet,959.4,0.0433,0.0045,1.0082,-2.634,2.05,2.042,2.47
17.75,carpet,976.8,-0.0675,-0.0714,0.9518,-0.525,-1.782,-1.462,5.89
18.0,carpet,994.5,-0.0209,0.0035,1.0239,1.504,2.578,3.208,1.19
18.25,carpet,943.5,0.1048,0.0165,1.0308,6.127,1.039,-1.917,5.88
18.5,carpet,995.4,0.0954,-0.0416,0.9858,3.239,-4.683,1.456,6.03
18.75,carpet,973.8,-0.0106,0.0464,1.0244,-7.309,-4.284,0.55,2.66
19.0,carpet,945.8,0.0295,-0.0836,1.0098,0.766,-1.717,0.1,5.02
19.25,carpet,981.0,0.0702,0.0473,0.9921,4.574,-3.963,4.584,4.88
19.5,carpet,985.1,0.0441,-0.1172,0.9483,-4.281,-0.715,-0.542,7.52
19.75,carpet,937.9,-0.0037,0.115,1.0431,1.765,-3.041,-0.571,6.29
20.0,carpet,986.1,-0.0274,-0.0403,1.0304,-0.757,-0.293,2.397,2.71
20.25,carpet,971.7,0.0534,-0.0781,1.0234,3.681,4.235,1.371,5.28
20.5,carpet,1000.1,0.0665,-0.0316,1.0618,1.294,-0.148,2.308,3.97
20.75,carpet,938.7,0.0958,-0.0723,1.0378,-2.829,-0.909,0.21,6.6
21.0,carpet,987.8,-0.0744,-0.0007,1.0275,-0.643,1.165,0.57,4.14
21.25,carpet,903.4,-0.0527,0.0484,0.9115,-0.453,-2.089,3.422,4.49
21.5,carpet,960.6,0.0681,-0.0697,1.0479,-0.394,2.53,-1.505,5.31
21.75,carpet,956.3,-0.0676,0.009,1.0033,3.582,1.486,-0.185,3.89
22.0,carpet,935.6,0.0719,-0.0966,1.0125,-2.696,0.117,1.437,6.78
22.25,carpet,946.2,-0.0007,0.0316,1.0128,3.21,0.463,-0.353,1.79
22.5,carpet,919.2,-0.016,0.0008,1.031,-0.967,6.125,-1.026,0.89
22.75,carpet,974.4,0.0203,0.0338,1.0449,0.715,2.827,1.113,2.16
23.0,carpet,937.2,-0.0573,-0.0261,1.0254,0.232,6.599,2.404,3.51
23.25,carpet,1016.1,0.0512,-0.0418,1.019,-0.07,1.596,-0.254,3.71
23.5,carpet,944.1,0.0945,0.0208,1.0093,-0.044,-4.415,-0.303,5.48
23.75,carpet,931.3,0.0535,-0.0854,0.8659,4.664,-0.787,-1.166,6.64
24.0,carpet,938.9,-0.0023,-0.1071,0.9885,2.696,-5.101,-0.533,6.19
24.25,carpet,916.9,-0.0669,-0.0202,0.9623,-1.161,1.585,1.95,4.15
24.5,carpet,958.6,-0.065,-0.0395,1.0484,5.065,2.236,0.146,4.15
24.75,carpet,938.8,-0.0565,0.0077,1.0248,0.879,-2.658,-1.449,3.18
25.0,carpet,972.9,0.0094,0.0346,0.9817,1.144,-1.967,0.472,2.09
25.25,carpet,942.0,0.0157,0.0067,0.9857,-2.679,0.446,1.892,0.99
25.5,carpet,978.5,0.0534,0.0306,0.9842,-1.592,-3.594,-1.011,3.58
25.75,carpet,964.7,-0.0798,-0.0039,0.9835,-2.203,-3.819,-2.391,4.64
26.0,carpet,983.7,0.0756,0.0047,0.9422,0.275,3.716,3.943,4.6
26.25,carpet,982.8,0.0447,-0.0258,0.9335,2.044,0.344,-2.481,3.16
26.5,carpet,969.0,-0.0063,0.0033,1.0012,1.175,-1.674,-0.646,0.41
26.75,carpet,1012.8,-0.0495,-0.0117,1.043,5.082,-5.076,0.418,2.79
27.0,carpet,939.0,0.0725,-0.0037,0.9785,-2.841,2.557,-0.49,4.24
27.25,carpet,949.7,-0.005,-0.0283,1.0121,0.368,-2.054,-0.135,1.63
27.5,carpet,982.5,0.009,0.0204,1.0294,-4.105,5.582,1.038,1.24
27.75,carpet,914.0,0.0292,-0.0555,0.9603,-2.95,2.578,-4.305,3.74
28.0,carpet,977.0,-0.0357,-0.0209,0.9992,4.047,-2.424,-2.28,2.37
28.25,carpet,957.7,-0.0041,0.0456,0.9733,-1.482,-2.146,0.08,2.69
28.5,carpet,928.5,0.0533,-0.0674,1.0642,-2.571,5.166,-0.728,4.62
28.75,carpet,918.0,0.0482,-0.1281,1.0625,-6.816,-0.253,0.233,7.34
29.0,carpet,933.2,0.0487,-0.0017,0.9603,-2.603,-1.54,0.41,2.9
29.25,carpet,897.7,-0.0478,-0.0328,1.0154,-0.657,0.083,-3.809,3.27
29.5,carpet,937.2,-0.0018,0.0305,1.0427,-4.344,-1.554,2.293,1.68
29.75,carpet,961.7,-0.0098,-0.0265,1.0339,-0.841,0.723,-0.897,1.57
0.0,rough,1016.0,0.0854,-0.0565,0.8712,12.646,-3.038,0.391,6.7
0.25,rough,957.4,-0.1372,-0.1662,1.0538,0.725,8.205,-2.244,11.56
0.5,rough,952.8,0.2225,0.0292,0.9394,6.876,-5.952,2.677,13.44
0.75,rough,1001.9,0.2305,0.1502,0.979,4.645,1.942,-0.281,15.7
1.0,rough,1052.9,0.0809,-0.2024,1.1114,11.555,-12.952,0.71,11.1
1.25,rough,1000.1,0.249,-0.0962,0.8955,-2.033,14.193,-1.683,16.6
1.5,rough,905.8,0.0527,-0.0382,1.0148,15.892,9.411,-8.372,3.67
1.75,rough,954.4,0.1022,-0.0027,0.9964,-16.878,21.451,-8.611,5.86
2.0,rough,897.8,0.1614,0.0679,1.0631,7.289,10.439,2.476,9.35
2.25,rough,952.4,0.0316,-0.0352,1.077,-7.366,-8.811,1.121,2.51
2.5,rough,942.9,-0.1763,-0.0516,1.0237,-4.188,5.215,1.842,10.17
2.75,rough,1006.9,0.1047,0.0903,0.9676,4.84,-7.16,0.565,8.13
3.0,rough,941.3,-0.0466,0.0462,1.0426,4.772,12.309,0.901,3.6
3.25,rough,879.9,-0.0377,0.0339,1.1202,5.155,-8.589,4.07,2.59
3.5,rough,875.7,0.0457,-0.0087,0.9975,-11.782,-8.963,1.867,2.67
3.75,rough,907.5,0.078,0.0783,0.9759,12.317,-12.557,4.372,6.46
4.0,rough,946.2,0.028,-0.0856,1.0349,-7.656,-3.809,0.72,4.97
4.25,rough,895.0,0.0863,-0.0993,1.0035,-6.522,-5.378,-1.262,7.47
4.5,rough,1024.6,-0.0748,0.0546,0.8796,5.422,-9.841,0.816,6.01
4.75,rough,945.7,0.0049,-0.1825,1.0215,-2.437,15.521,-3.512,10.13
5.0,rough,884.8,0.1119,-0.0108,0.8788,2.62,4.133,-1.595,7.29
5.25,rough,882.6,0.2227,-0.0517,1.0337,-18.331,3.215,0.746,12.47
5.5,rough,829.9,0.2652,-0.1606,0.9283,2.417,12.395,0.69,18.47
5.75,rough,893.1,0.062,-0.1131,1.0033,1.852,1.999,-0.447,7.33
6.0,rough,948.6,0.1108,-0.0309,1.0352,-4.334,-5.84,-5.83,6.34
6.25,rough,955.0,0.2478,0.0834,1.2209,-17.63,-13.262,2.673,12.09
6.5,rough,957.1,-0.0705,-0.0853,1.0668,-1.809,-6.279,3.504,5.92
6.75,rough,913.0,0.0856,0.1013,1.1228,-0.318,11.742,6.904,6.74
7.0,rough,947.2,0.1022,-0.0137,1.1685,-3.121,-9.792,1.855,5.04
7.25,rough,965.9,0.1837,0.111,1.044,-15.607,2.754,0.006,11.62
7.5,rough,890.9,-0.1265,-0.0804,1.0257,13.555,8.065,-4.255,8.31
7.75,rough,953.5,-0.1027,-0.0249,0.904,-5.43,2.226,6.266,6.67
8.0,rough,977.5,0.0126,0.0168,0.9895,-1.889,3.112,1.041,1.22
8.25,rough,925.9,0.0553,-0.038,0.9349,-20.481,5.114,0.812,4.11
8.5,rough,995.8,0.1447,0.0753,0.9639,13.556,2.958,-1.067,9.61
8.75,rough,812.3,0.0721,-0.2408,1.1684,-3.966,12.551,-1.335,12.14
9.0,rough,909.3,-0.0082,0.2222,1.0103,0.837,-8.114,2.891,12.41
9.25,rough,973.1,0.06,0.0658,0.9212,9.526,1.875,-4.29,5.52
9.5,rough,1039.5,0.0461,-0.0374,1.1237,-5.749,-14.182,6.827,3.02
9.75,rough,1062.1,0.2194,-0.0752,1.086,8.188,-16.175,5.912,12.06
10.0,rough,976.6,0.0299,-0.1066,1.0907,-17.521,-0.637,-1.487,5.8
10.25,rough,925.1,-0.036,0.0446,0.8194,4.683,4.238,-3.628,4.0
10.5,rough,892.1,0.064,0.0795,1.1754,13.364,12.719,-8.464,4.96
10.75,rough,955.5,0.0338,-0.0363,0.9497,-4.934,18.874,-5.256,2.99
11.0,rough,962.6,-0.1785,0.0907,1.07,9.51,10.295,3.066,10.6
11.25,rough,829.3,0.0081,-0.1107,1.2271,15.588,5.672,1.324,5.17
11.5,rough,976.4,-0.0021,-0.1284,1.194,-2.166,1.248,2.073,6.14
11.75,rough,918.6,-0.0553,0.1613,0.912,-2.869,-11.944,-7.751,10.59
12.0,rough,907.4,0.1343,0.0391,0.87,-7.635,-1.139,-1.662,9.13
12.25,rough,995.7,-0.0843,0.1197,1.1287,-4.333,10.065,5.743,7.39
12.5,rough,995.9,0.0647,-0.1054,1.0128,-6.931,7.007,-0.403,6.96
12.75,rough,919.5,-0.0077,-0.1124,0.9549,-7.642,-10.033,-5.344,6.73
13.0,rough,1025.3,0.0229,-0.0559,1.0559,10.19,4.789,-0.469,3.27
13.25,rough,935.1,0.0594,-0.1024,0.9853,-6.714,4.121,-3.238,6.85
13.5,rough,951.8,-0.1469,0.0505,1.0631,2.197,2.729,1.401,8.31
13.75,rough,827.3,0.033,-0.0951,1.006,0.325,-0.217,0.086,5.71
14.0,rough,971.6,0.2847,-0.1372,1.065,12.734,5.192,2.282,16.53
14.25,rough,960.2,-0.1768,-0.0058,0.9195,-4.277,5.439,-5.115,10.89
14.5,rough,1021.5,0.0031,-0.149,1.1282,3.24,-5.003,-1.885,7.53
14.75,rough,902.1,0.1448,-0.1999,1.0628,6.724,3.549,4.58,13.08
15.0,rough,872.0,0.0462,-0.0067,1.0582,12.663,-1.477,-5.688,2.53
15.25,rough,999.4,0.0926,-0.1949,0.8994,-4.401,-11.6,-4.213,13.49
15.5,rough,923.5,-0.2751,0.0575,1.153,-5.252,-4.381,0.837,13.7
15.75,rough,945.8,0.0818,-0.1595,0.9988,-9.025,-12.197,1.204,10.17
16.0,rough,962.7,-0.0814,-0.2441,1.0655,19.009,7.645,-2.053,13.58
16.25,rough,1021.3,0.0472,-0.0494,0.9709,11.768,2.776,-1.169,4.03
16.5,rough,955.3,0.0065,-0.0055,1.0235,-0.359,-2.773,2.24,0.48
16.75,rough,930.2,0.2834,0.0291,1.0267,16.417,11.08,3.568,15.51
