time_s,surface,force_g,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,tilt_deg
6.25,smooth,948.9,0.0266,-0.008,1.0004,0.146,-1.074,0.318,1.59
6.5,smooth,938.8,0.0036,-0.0234,1.008,-2.058,1.361,-0.123,1.35
6.75,smooth,951.0,0.0059,-0.0143,1.0007,-0.308,0.07,-0.442,0.89
7.0,smooth,943.2,0.0154,-0.0294,1.0077,1.064,-0.635,-0.324,1.89
7.25,smooth,945.7,0.0549,-0.0157,0.9922,1.599,1.297,0.401,3.29
7.5,smooth,943.2,-0.0058,-0.0294,1.0178,0.574,0.494,0.137,1.69
7.75,smooth,962.8,0.0485,-0.0311,1.0025,1.254,-0.96,0.025,3.29
8.0,smooth,947.9,-0.0137,-0.0379,1.004,-0.942,-0.836,0.122,2.3
8.25,smooth,939.5,0.0146,0.0105,0.9922,-0.544,-0.178,0.464,1.04
8.5,smooth,954.6,0.0032,-0.0127,1.0047,-1.344,0.238,-0.049,0.75
8.75,smooth,938.2,-0.0063,-0.0158,1.0065,-0.484,0.498,0.027,0.97
9.0,smooth,949.7,0.024,-0.0375,0.9883,0.61,0.76,0.569,2.58
9.25,smooth,932.3,0.022,-0.0247,0.9834,0.17,0.432,-0.166,1.93
9.5,smooth,937.4,0.0004,-0.0397,1.0029,0.694,1.077,0.309,2.27
9.75,smooth,949.6,-0.0319,-0.0298,0.9951,-0.749,0.101,-0.252,2.51
10.0,smooth,953.9,0.0016,-0.0442,1.0026,-0.7,-0.608,-0.208,2.53
10.25,smooth,949.4,0.0128,0.0118,0.9871,0.164,-0.003,-0.052,1.01
10.5,smooth,947.1,0.01,-0.0351,0.9844,-0.482,-0.055,0.258,2.12
10.75,smooth,945.6,0.0251,-0.0375,1.0021,1.041,-2.063,0.597,2.58
11.0,smooth,936.2,0.0487,-0.0465,0.9965,-0.502,-0.449,0.048,3.87
11.25,smooth,942.2,0.0183,-0.0354,0.9789,-0.396,0.251,-0.75,2.33
11.5,smooth,944.3,0.0214,-0.0299,1.0134,0.335,-0.339,0.316,2.08
11.75,smooth,978.9,0.013,-0.021,0.9869,-0.311,-0.517,1.227,1.43
12.0,smooth,950.7,0.0334,-0.0329,1.0257,-0.988,0.729,0.054,2.62
12.25,smooth,933.9,0.0206,-0.052,0.9938,-0.879,-0.733,-0.854,3.22
12.5,smooth,927.0,0.025,-0.0503,1.004,0.43,0.569,0.085,3.2
12.75,smooth,944.9,0.0462,-0.0064,1.0165,-1.087,-1.066,-0.002,2.63
13.0,smooth,942.6,0.0145,-0.0225,1.0148,1.118,2.209,-0.044,1.51
13.25,smooth,952.9,0.0046,-0.007,1.0199,-0.552,-0.173,0.473,0.47
13.5,smooth,956.2,0.0189,-0.0044,0.9848,0.493,-0.259,0.689,1.13
13.75,smooth,955.5,0.0327,-0.017,0.9886,-0.504,0.914,0.342,2.13
14.0,smooth,941.3,0.02,-0.0446,1.0023,-0.732,-0.335,-0.067,2.79
14.25,smooth,945.5,0.0312,-0.0162,1.0084,0.197,1.164,0.563,2.0
14.5,smooth,950.7,-0.0034,0.008,0.9999,0.841,0.297,-0.747,0.5
14.75,smooth,955.8,-0.0074,-0.0289,0.9836,-0.198,-0.095,-0.358,1.74
15.0,smooth,944.2,-0.0009,-0.0132,1.005,-0.052,-0.18,-0.302,0.75
15.25,smooth,946.5,-0.0153,-0.0203,0.9981,0.646,0.966,-0.015,1.46
15.5,smooth,939.1,0.0122,0.0074,0.9979,0.672,0.184,0.253,0.82
15.75,smooth,938.4,0.0014,-0.0336,0.9772,-0.031,0.346,-0.1,1.97
16.0,smooth,954.5,0.0346,0.0031,1.008,-0.355,0.433,-0.453,1.97
16.25,smooth,958.8,-0.0158,-0.0275,1.0015,0.066,0.106,0.487,1.81
16.5,smooth,947.4,0.0411,-0.0339,1.018,-0.153,0.416,-0.118,3.0
16.75,smooth,956.0,-0.0096,-0.0178,0.9993,0.25,-0.095,0.051,1.16
17.0,smooth,950.9,-0.0148,-0.0132,1.0057,-0.955,-0.04,0.276,1.13
17.25,smooth,942.8,-0.0065,0.0182,1.0083,0.222,-0.895,0.019,1.1
17.5,smooth,950.9,0.049,-0.0136,0.9825,-0.575,0.238,0.022,2.96
17.75,smooth,960.3,0.0092,-0.0161,1.0262,0.725,-1.376,0.515,1.04
18.0,smooth,947.7,0.0206,0.0119,0.9957,-0.538,0.227,0.076,1.37
18.25,smooth,960.5,0.0063,-0.008,1.0049,-0.524,-0.224,0.431,0.58
18.5,smooth,927.0,0.0082,-0.0329,1.0064,0.356,0.3,0.272,1.93
18.75,smooth,954.6,-0.0001,0.0071,0.9919,0.011,-0.839,1.008,0.41
19.0,smooth,948.7,0.011,-0.0348,1.0185,1.821,-1.695,0.205,2.05
19.25,smooth,945.6,0.0199,-0.033,1.0027,-1.303,-0.281,0.319,2.2
19.5,smooth,948.7,0.0436,-0.037,0.9979,0.088,-0.837,0.551,3.28
19.75,smooth,915.4,-0.0275,-0.0387,1.0014,0.904,-1.424,0.032,2.71
20.0,smooth,946.2,0.0422,-0.0133,1.0076,-0.463,0.614,-0.319,2.51
20.25,smooth,950.9,0.0206,-0.0252,1.0001,-0.728,1.281,-0.237,1.86
20.5,smooth,959.8,0.0026,-0.0896,1.0088,-0.697,-0.638,-0.232,5.08
20.75,smooth,943.9,-0.001,-0.0254,0.9832,-1.29,-0.061,-0.475,1.48
21.0,smooth,941.5,0.0309,-0.0304,0.9925,1.08,-0.246,0.159,2.5
21.25,smooth,944.0,0.0146,-0.0021,0.9786,-0.264,-0.527,-0.315,0.86
21.5,smooth,972.5,-0.0207,-0.0313,1.02,-0.358,0.531,0.097,2.11
21.75,smooth,950.6,0.0173,0.0308,1.0198,-1.699,0.808,-0.079,1.98
22.0,smooth,943.8,0.0329,0.0079,1.0063,-1.147,-0.695,-0.021,1.93
22.25,smooth,952.1,0.0272,-0.0278,0.9899,1.172,0.036,0.278,2.25
22.5,smooth,948.8,-0.0025,0.003,1.0239,0.242,1.028,-0.271,0.22
22.75,smooth,955.7,-0.0168,-0.0095,0.994,0.933,0.551,0.319,1.11
23.0,smooth,942.4,0.0035,-0.0153,0.9979,0.832,0.67,0.784,0.9
23.25,smooth,945.4,0.0751,-0.0039,1.0016,-0.8,1.094,0.172,4.29
23.5,smooth,944.9,-0.0209,-0.0189,1.0045,1.944,1.084,-0.391,1.61
23.75,smooth,936.3,-0.0069,-0.0152,1.0064,1.56,0.823,-0.308,0.95
24.0,smooth,950.4,0.0178,-0.0035,1.0068,-0.451,0.116,-0.124,1.03
24.25,smooth,950.1,0.0075,0.021,0.9986,-2.855,-0.306,-0.297,1.28
24.5,smooth,948.0,0.006,-0.015,1.0067,-0.285,0.083,-0.496,0.92
24.75,smooth,946.1,0.0505,-0.0291,0.9981,0.191,-0.428,0.077,3.34
25.0,smooth,936.7,-0.0071,-0.0606,1.0058,-0.454,-1.562,-0.111,3.47
25.25,smooth,944.6,0.0097,0.0192,1.005,-0.177,-0.224,0.095,1.23
25.5,smooth,945.3,0.014,-0.0253,1.0076,-0.663,0.286,0.593,1.64
25.75,smooth,941.6,-0.0061,-0.0093,1.0064,0.737,-0.47,-0.118,0.63
26.0,smooth,946.7,-0.0188,0.0181,0.9956,0.051,-0.154,-0.593,1.5
26.25,smooth,951.2,0.0154,-0.0154,1.0046,0.761,-0.123,-0.199,1.24
26.5,smooth,963.1,0.0463,-0.0239,1.0065,0.978,1.085,0.385,2.96
26.75,smooth,949.4,0.0181,0.0084,0.9871,-1.739,-0.288,0.338,1.16
27.0,smooth,950.1,0.0118,-0.0108,0.9973,-0.616,1.085,0.259,0.92
27.25,smooth,947.4,0.0117,-0.0083,1.0061,-0.499,-2.17,-0.312,0.82
27.5,smooth,932.6,0.0048,-0.0505,1.0171,2.057,1.078,0.376,2.86
27.75,smooth,947.8,0.0337,0.0041,1.0082,0.119,1.038,0.488,1.93
28.0,smooth,948.5,-0.0001,-0.0125,1.0177,0.65,0.722,-0.348,0.7
28.25,smooth,967.7,-0.0171,-0.0474,0.996,-1.505,-1.61,-0.021,2.9
28.5,smooth,946.5,-0.0216,-0.0103,1.0025,0.115,0.815,1.01,1.37
28.75,smooth,950.4,0.0116,-0.0613,1.0081,0.783,-0.04,-0.37,3.54
29.0,smooth,947.7,0.0312,0.0268,0.9767,0.69,-2.023,-0.853,2.41
29.25,smooth,938.7,0.0147,-0.042,1.0151,0.499,1.039,0.691,2.51
29.5,smooth,957.1,0.0037,0.0122,0.9814,0.01,1.155,0.568,0.74
29.75,smooth,954.0,0.0192,-0.0363,1.01,0.049,-1.524,-0.228,2.33
